Taxa	FLoweringtime
PI152651.C57CTACXX.2.1798	1.64
PI24969.C57CTACXX.9.12341	1.84
PI257599.C57CTACXX.5.6490	1.77
PI276837.MERGE	1.99
PI329440.MERGE	1.71
PI34911.C57CTACXX.2.1957	1.88
PI533750.C57CTACXX.8.11413	1.76
PI533752.C57CTACXX.8.11536	1.79
PI533755.C57CTACXX.8.11537	1.7
PI533757.C57CTACXX.8.11521	1.79
PI533758.C57CTACXX.8.12216	1.8
PI533759.C57CTACXX.8.11270	1.71
PI533760.C57CTACXX.3.4382	1.77
PI533761.C57CTACXX.8.11946	1.81
PI533762.C57CTACXX.8.11502	1.71
PI533769.C57CTACXX.8.11115	1.77
PI533785.C57CTACXX.8.11395	1.73
PI533788.C57CTACXX.8.11685	1.68
PI533789.C57CTACXX.8.12089	1.77
PI533792.MERGE	1.72
PI533794.C57CTACXX.8.12142	1.79
PI533799.MERGE	1.79
PI533800.C57CTACXX.8.11291	1.79
PI533807.C57CTACXX.8.11385	1.82
PI533810.C57CTACXX.8.11087	1.82
PI533821.C57CTACXX.8.12160	1.78
PI533822.C57CTACXX.4.5116	1.76
PI533824.C57CTACXX.3.4081	1.81
PI533830.MERGE	1.66
PI533831.MERGE	1.79
PI533852.MERGE	1.78
PI533863.C57CTACXX.8.11138	1.72
PI533866.MERGE	1.8
PI533869.C57CTACXX.8.11983	1.74
PI533871.C57CTACXX.2.2987	1.83
PI533876.C57CTACXX.2.2968	1.62
PI533878.C57CTACXX.4.5330	1.8
PI533882.C57CTACXX.3.4129	1.77
PI533902.MERGE	1.85
PI533903.MERGE	1.8
PI533910.C57CTACXX.8.11374	1.75
PI533911.C57CTACXX.8.11779	1.77
PI533912.C57CTACXX.8.11787	1.62
PI533913.C57CTACXX.8.11606	1.7
PI533915.MERGE	1.74
PI533919.C57CTACXX.8.11879	1.77
PI533921.MERGE	1.75
PI533924.MERGE	1.77
PI533936.C57CTACXX.2.2564	1.77
PI533939.C57CTACXX.3.3276	1.8
PI533948.C57CTACXX.2.2420	1.78
PI533949.MERGE	1.69
PI533955.C57CTACXX.3.3693	1.72
PI533956.C57CTACXX.3.3243	1.74
PI533957.C57CTACXX.8.11187	1.72
PI533962.C57CTACXX.8.11061	1.8
PI533964.C57CTACXX.3.3642	1.82
PI533965.C57CTACXX.8.11653	1.79
