Taxa	GHD
PI152651.C57CTACXX.2.1798	9
PI24969.C57CTACXX.9.12341	9
PI257599.C57CTACXX.5.6490	8.1
PI276837.MERGE	8.3
PI329440.MERGE	8.5
PI34911.C57CTACXX.2.1957	8.6
PI533750.C57CTACXX.8.11413	8.6
PI533752.C57CTACXX.8.11536	8.6
PI533755.C57CTACXX.8.11537	8.8
PI533757.C57CTACXX.8.11521	8.8
PI533758.C57CTACXX.8.12216	8.8
PI533759.C57CTACXX.8.11270	9
PI533760.C57CTACXX.3.4382	9
PI533761.C57CTACXX.8.11946	9
PI533762.C57CTACXX.8.11502	9
PI533769.C57CTACXX.8.11115	8.2
PI533785.C57CTACXX.8.11395	8.7
PI533788.C57CTACXX.8.11685	9
PI533789.C57CTACXX.8.12089	8.5
PI533792.MERGE	8.8
PI533794.C57CTACXX.8.12142	8.5
PI533799.MERGE	8.5
PI533800.C57CTACXX.8.11291	9
PI533807.C57CTACXX.8.11385	9
PI533810.C57CTACXX.8.11087	9
PI533821.C57CTACXX.8.12160	9
PI533822.C57CTACXX.4.5116	9
PI533824.C57CTACXX.3.4081	8.3
PI533830.MERGE	9
PI533831.MERGE	9
PI533852.MERGE	7.6
PI533863.C57CTACXX.8.11138	8
PI533866.MERGE	8.3
PI533869.C57CTACXX.8.11983	9
PI533871.C57CTACXX.2.2987	9
PI533876.C57CTACXX.2.2968	8.6
PI533878.C57CTACXX.4.5330	9
PI533882.C57CTACXX.3.4129	9
PI533902.MERGE	9
PI533903.MERGE	9
PI533910.C57CTACXX.8.11374	9
PI533911.C57CTACXX.8.11779	9
PI533912.C57CTACXX.8.11787	9
PI533913.C57CTACXX.8.11606	8.8
PI533915.MERGE	9
PI533919.C57CTACXX.8.11879	9
PI533921.MERGE	9
PI533924.MERGE	9
PI533936.C57CTACXX.2.2564	9
PI533939.C57CTACXX.3.3276	9
PI533948.C57CTACXX.2.2420	9
PI533949.MERGE	9
PI533955.C57CTACXX.3.3693	9
PI533956.C57CTACXX.3.3243	9
PI533957.C57CTACXX.8.11187	9
PI533962.C57CTACXX.8.11061	9
PI533964.C57CTACXX.3.3642	9
PI533965.C57CTACXX.8.11653	9
PI533967.C57CTACXX.3.3547	9
PI533970.C57CTACXX.3.3947	9
PI533976.C57CTACXX.3.3079	8.4
PI533979.C57CTACXX.3.3512	9
PI533980.C57CTACXX.3.3599	8.8
PI533985.C57CTACXX.3.3267	8.9
PI533986.C57CTACXX.8.11164	8.7
PI533987.C57CTACXX.3.3752	8.5
