Taxa	Log_D1_2019&2020	Log_D2_2019&2020
PI152651.C57CTACXX.2.1798	0.8	0.9
PI24969.C57CTACXX.9.12341	0.8	0.9
PI257599.C57CTACXX.5.6490	0.3	0.54
PI276837.MERGE	0.44	0.6
PI329440.MERGE	0.63	0.78
PI34911.C57CTACXX.2.1957	0.57	0.83
PI533750.C57CTACXX.8.11413	0.7	0.85
PI533752.C57CTACXX.8.11536	0.57	0.86
PI533755.C57CTACXX.8.11537	0.76	0.88
PI533757.C57CTACXX.8.11521	0.76	0.89
PI533758.C57CTACXX.8.12216	0.57	0.78
PI533759.C57CTACXX.8.11270	0.76	0.83
PI533760.C57CTACXX.3.4382	0.48	0.8
PI533761.C57CTACXX.8.11946	0.81	0.9
PI533762.C57CTACXX.8.11502	0.85	0.93
PI533769.C57CTACXX.8.11115	0.65	0.83
PI533785.C57CTACXX.8.11395	0.86	0.93
PI533788.C57CTACXX.8.11685	0.54	0.89
PI533789.C57CTACXX.8.12089	0.86	0.88
PI533792.MERGE	0.85	0.89
PI533794.C57CTACXX.8.12142	0.42	0.63
PI533799.MERGE	0.57	0.7
PI533800.C57CTACXX.8.11291	0.7	0.85
PI533807.C57CTACXX.8.11385	0.72	0.85
PI533810.C57CTACXX.8.11087	0.54	0.76
PI533821.C57CTACXX.8.12160	0.63	0.7
PI533822.C57CTACXX.4.5116	0.6	0.81
PI533824.C57CTACXX.3.4081	0.48	0.8
PI533830.MERGE	0.85	0.93
PI533831.MERGE	0.7	0.88
PI533852.MERGE	0.74	0.85
PI533863.C57CTACXX.8.11138	0.7	0.89
PI533866.MERGE	0.54	0.72
PI533869.C57CTACXX.8.11983	0.74	0.74
PI533871.C57CTACXX.2.2987	0.68	0.78
PI533876.C57CTACXX.2.2968	0.81	0.89
PI533878.C57CTACXX.4.5330	0.7	0.81
PI533882.C57CTACXX.3.4129	0.72	0.86
PI533902.MERGE	0.48	0.63
PI533903.MERGE	0.54	0.74
PI533910.C57CTACXX.8.11374	0.76	0.81
PI533911.C57CTACXX.8.11779	0.51	0.76
PI533912.C57CTACXX.8.11787	0.89	0.95
PI533913.C57CTACXX.8.11606	0.6	0.9
PI533915.MERGE	0.57	0.78
PI533919.C57CTACXX.8.11879	0.63	0.78
PI533921.MERGE	0.72	0.81
PI533924.MERGE	0.51	0.68
PI533936.C57CTACXX.2.2564	0.74	0.9
PI533939.C57CTACXX.3.3276	0.88	0.94
PI533948.C57CTACXX.2.2420	0.63	0.81
PI533949.MERGE	0.76	0.86
PI533955.C57CTACXX.3.3693	0.72	0.86
PI533956.C57CTACXX.3.3243	0.72	0.89
PI533957.C57CTACXX.8.11187	0.51	0.78
PI533962.C57CTACXX.8.11061	0.65	0.93
PI533964.C57CTACXX.3.3642	0.6	0.85
PI533965.C57CTACXX.8.11653	0.48	0.88
PI533967.C57CTACXX.3.3547	0.6	0.81
PI533970.C57CTACXX.3.3947	0.68	0.9
PI533976.C57CTACXX.3.3079	0.68	0.86
PI533979.C57CTACXX.3.3512	0.57	0.83
PI533980.C57CTACXX.3.3599	0.78	0.89
PI533985.C57CTACXX.3.3267	0.57	0.81
PI533986.C57CTACXX.8.11164	0.6	0.78
PI533987.C57CTACXX.3.3752	0.76	0.89
PI533989.C57CTACXX.8.12036	0.7	0.88
