Taxa	Log_D1_2019&2020AC	Log_D2_2019&2020AC
PI152651.C57CTACXX.2.1798	3.05	2.29
PI24969.C57CTACXX.9.12341	2.98	1.45
PI257599.C57CTACXX.5.6490	2.1	0.49
PI276837.MERGE	2.44	2.79
PI329440.MERGE	2.83	2.64
PI34911.C57CTACXX.2.1957	2.95	2.96
PI533750.C57CTACXX.8.11413	2.89	2.73
PI533752.C57CTACXX.8.11536	2.25	2.87
PI533755.C57CTACXX.8.11537	2.83	2.88
PI533757.C57CTACXX.8.11521	2.96	2.74
PI533758.C57CTACXX.8.12216	2.88	2.79
PI533759.C57CTACXX.8.11270	2.82	2.79
PI533760.C57CTACXX.3.4382	2.52	2.66
PI533761.C57CTACXX.8.11946	2.99	2.71
PI533762.C57CTACXX.8.11502	2.59	0
PI533769.C57CTACXX.8.11115	2.76	1.44
PI533785.C57CTACXX.8.11395	3.15	2.83
PI533788.C57CTACXX.8.11685	2.38	2.78
PI533789.C57CTACXX.8.12089	2.95	2.85
PI533792.MERGE	3.09	2.79
PI533794.C57CTACXX.8.12142	2.04	1.97
PI533799.MERGE	2.18	2.7
PI533800.C57CTACXX.8.11291	3.07	2.7
PI533807.C57CTACXX.8.11385	2.94	2.64
PI533810.C57CTACXX.8.11087	2.27	2.75
PI533821.C57CTACXX.8.12160	2.41	2.69
PI533822.C57CTACXX.4.5116	2.86	2.8
PI533824.C57CTACXX.3.4081	1.68	2.54
PI533830.MERGE	2.72	1.81
PI533831.MERGE	2.84	2.64
PI533852.MERGE	2.96	1.09
PI533863.C57CTACXX.8.11138	2.79	2.74
PI533866.MERGE	2.47	2.66
PI533869.C57CTACXX.8.11983	2.39	2.29
PI533871.C57CTACXX.2.2987	2.97	1.07
PI533876.C57CTACXX.2.2968	2.8	1.99
PI533878.C57CTACXX.4.5330	2.73	2.55
PI533882.C57CTACXX.3.4129	2.99	2.51
PI533902.MERGE	2.13	2.31
PI533903.MERGE	2.52	2.75
PI533910.C57CTACXX.8.11374	3.01	2.79
PI533911.C57CTACXX.8.11779	2.82	2.57
PI533912.C57CTACXX.8.11787	2.94	0.93
PI533913.C57CTACXX.8.11606	2.27	2.71
PI533915.MERGE	2.39	2.94
PI533919.C57CTACXX.8.11879	2.8	2.65
PI533921.MERGE	2.73	2.76
PI533924.MERGE	2.27	2.71
PI533936.C57CTACXX.2.2564	2.96	2.79
PI533939.C57CTACXX.3.3276	3.02	2.59
PI533948.C57CTACXX.2.2420	2.45	2.73
PI533949.MERGE	2.69	2.84
PI533955.C57CTACXX.3.3693	2.47	2.73
PI533956.C57CTACXX.3.3243	2.62	2.44
PI533957.C57CTACXX.8.11187	2.23	2.79
PI533962.C57CTACXX.8.11061	2.87	0.88
PI533964.C57CTACXX.3.3642	2.9	2.56
PI533965.C57CTACXX.8.11653	2.95	0
PI533967.C57CTACXX.3.3547	3.09	1.6
PI533970.C57CTACXX.3.3947	3.03	2.91
PI533976.C57CTACXX.3.3079	3.02	2.64
PI533979.C57CTACXX.3.3512	2.65	2.74
PI533980.C57CTACXX.3.3599	3.14	2.84
PI533985.C57CTACXX.3.3267	2.91	2.25
PI533986.C57CTACXX.8.11164	2.77	2.86
PI533987.C57CTACXX.3.3752	2.74	2.09
PI533989.C57CTACXX.8.12036	3.05	2.37
PI533991.C57CTACXX.3.4498	2.98	2.95
PI533996.C57CTACXX.3.3315	2.47	2.79
PI533998.MERGE	2.98	2.88
PI534021.C57CTACXX.3.3681	2.98	2.8
PI534028.C57CTACXX.8.12087	2.81	2.64
PI534046.MERGE	3.03	2.65
PI534047.C57CTACXX.3.4325	2.94	2.88
PI534070.C57CTACXX.8.11311	2.33	2.14
PI534079.C57CTACXX.8.11798	2.88	2.23
PI534096.C57CTACXX.2.2664	3.07	2.64
PI534099.C57CTACXX.3.3773	2.87	2.64
PI534101.C57CTACXX.3.3651	3.04	2.79
PI534104.C57CTACXX.3.3627	2.5	2.83
PI534105.C57CTACXX.2.2988	2.75	2.84
PI534108.C57CTACXX.2.2729	2.75	2.88
PI534112.C57CTACXX.8.11587	2.8	2.58
PI534115.C57CTACXX.3.4516	1.96	2.72
PI534117.C57CTACXX.8.11444	2.5	2.5
PI534133.C57CTACXX.4.4863	2.92	2.88
PI534137.C57CTACXX.8.11813	3.18	0.81
PI534138.MERGE	2.96	2.64
PI534148.C57CTACXX.4.4786	2.72	2.75
PI534155.C57CTACXX.8.11382	2.94	2.88
PI534157.C57CTACXX.8.11481	2.68	2.65
PI534163.C57CTACXX.8.11281	2.65	2.64
PI534167.MERGE	2.98	2.79
PI535783.C57CTACXX.5.6428	2.4	2.91
PI535794.C57CTACXX.5.7062	3.08	2.73
PI542406.C57CTACXX.9.12657	2.88	2.54
PI542718.MERGE	2.84	2.06
PI548797.C57CTACXX.2.1781	2.93	2.58
PI552856.MERGE	1.99	2.4
PI552861.C57CTACXX.8.11203	2.75	2.78
PI561072.C57CTACXX.9.12647	2.59	2.81
PI561073.C57CTACXX.8.11313	2.76	2.85
PI561472.C57CTACXX.8.11565	2.84	2.59
PI564163.MERGE	2.86	2.71
PI564164.C57CTACXX.2.2363	2.89	2.79
PI564165.C57CTACXX.2.2043	2.77	2.99
PI566819.MERGE	2.82	2.83
PI574455.MERGE	2.21	2.9
PI576130.C57CTACXX.1.1364	2.45	2.98
PI576339.C57CTACXX.2.2815	2.85	2.7
PI576345.C57CTACXX.3.3355	3.02	2.57
PI576348.C57CTACXX.3.3952	2.51	2.4
PI576352.C57CTACXX.2.3063	2.76	2.73
PI576359.C57CTACXX.2.2942	2.48	2.86
