Taxa	NDVIAug25	NDREAug25	SAVI_Aug25
PI152651.C57CTACXX.2.1798	0.33	0.2	0.17
PI24969.C57CTACXX.9.12341	0.43	0.23	0.13
PI257599.C57CTACXX.5.6490	NA	NA	NA
PI276837.MERGE	0.72	0.46	0.4
PI329440.MERGE	0.44	0.25	0.14
PI34911.C57CTACXX.2.1957	0.68	0.39	0.33
PI533750.C57CTACXX.8.11413	0.37	0.22	0.13
PI533752.C57CTACXX.8.11536	0.31	0.17	0.1
PI533755.C57CTACXX.8.11537	0.22	0.13	0.1
PI533757.C57CTACXX.8.11521	0.54	0.31	0.2
PI533758.C57CTACXX.8.12216	0.64	0.37	0.21
PI533759.C57CTACXX.8.11270	0.53	0.28	0.13
PI533760.C57CTACXX.3.4382	0.49	0.29	0.21
PI533761.C57CTACXX.8.11946	0.45	0.3	0.22
PI533762.C57CTACXX.8.11502	0.26	0.13	0.09
PI533769.C57CTACXX.8.11115	0.27	0.16	0.1
PI533785.C57CTACXX.8.11395	0.44	0.28	0.22
PI533788.C57CTACXX.8.11685	0.44	0.22	0.12
PI533789.C57CTACXX.8.12089	0.48	0.28	0.2
PI533792.MERGE	0.37	0.23	0.18
PI533794.C57CTACXX.8.12142	0.61	0.41	0.32
PI533799.MERGE	0.42	0.33	0.15
PI533800.C57CTACXX.8.11291	0.4	0.25	0.17
PI533807.C57CTACXX.8.11385	0.49	0.26	0.13
PI533810.C57CTACXX.8.11087	0.31	0.17	0.11
PI533821.C57CTACXX.8.12160	0.47	0.38	0.18
PI533822.C57CTACXX.4.5116	0.49	0.41	0.18
PI533824.C57CTACXX.3.4081	0.46	0.25	0.15
PI533830.MERGE	0.48	0.29	0.19
PI533831.MERGE	0.3	0.2	0.14
PI533852.MERGE	0.3	0.14	0.11
PI533863.C57CTACXX.8.11138	0.53	0.36	0.18
PI533866.MERGE	0.58	0.38	0.18
PI533869.C57CTACXX.8.11983	0.61	0.45	0.25
PI533871.C57CTACXX.2.2987	0.34	0.23	0.17
PI533876.C57CTACXX.2.2968	0.34	0.22	0.14
PI533878.C57CTACXX.4.5330	0.29	0.27	0.15
PI533882.C57CTACXX.3.4129	0.31	0.21	0.13
PI533902.MERGE	0.75	0.5	0.28
PI533903.MERGE	0.53	0.34	0.2
PI533910.C57CTACXX.8.11374	0.57	0.31	0.16
PI533911.C57CTACXX.8.11779	0.53	0.31	0.16
PI533912.C57CTACXX.8.11787	0.28	0.14	0.1
PI533913.C57CTACXX.8.11606	0.54	0.3	0.15
PI533915.MERGE	0.47	0.25	0.13
PI533919.C57CTACXX.8.11879	0.6	0.36	0.24
PI533921.MERGE	0.41	0.2	0.12
PI533924.MERGE	0.63	0.45	0.33
PI533936.C57CTACXX.2.2564	0.4	0.24	0.13
PI533939.C57CTACXX.3.3276	0.2	0.18	0.08
PI533948.C57CTACXX.2.2420	0.41	0.23	0.12
PI533949.MERGE	0.48	0.31	0.17
PI533955.C57CTACXX.3.3693	0.45	0.25	0.13
PI533956.C57CTACXX.3.3243	0.39	0.24	0.13
PI533957.C57CTACXX.8.11187	0.26	0.2	0.1
PI533962.C57CTACXX.8.11061	0.36	0.17	0.13
PI533964.C57CTACXX.3.3642	0.56	0.28	0.15
PI533965.C57CTACXX.8.11653	0.17	0.15	0.07
PI533967.C57CTACXX.3.3547	0.16	0.15	0.08
PI533970.C57CTACXX.3.3947	0.38	0.21	0.16
PI533976.C57CTACXX.3.3079	0.58	0.3	0.16
PI533979.C57CTACXX.3.3512	0.51	0.31	0.14
PI533980.C57CTACXX.3.3599	0.46	0.24	0.13
PI533985.C57CTACXX.3.3267	0.27	0.14	0.1
