Taxa	nSpad
PI152651.C57CTACXX.2.1798	0
PI24969.C57CTACXX.9.12341	0
PI257599.C57CTACXX.5.6490	4
PI276837.MERGE	3
PI329440.MERGE	1
PI34911.C57CTACXX.2.1957	2
PI533750.C57CTACXX.8.11413	2
PI533752.C57CTACXX.8.11536	1
PI533755.C57CTACXX.8.11537	1
PI533757.C57CTACXX.8.11521	1
PI533758.C57CTACXX.8.12216	1
PI533759.C57CTACXX.8.11270	0
PI533760.C57CTACXX.3.4382	0
PI533761.C57CTACXX.8.11946	0
PI533762.C57CTACXX.8.11502	0
PI533769.C57CTACXX.8.11115	2
PI533785.C57CTACXX.8.11395	1
PI533788.C57CTACXX.8.11685	0
PI533789.C57CTACXX.8.12089	1
PI533792.MERGE	1
PI533794.C57CTACXX.8.12142	1
PI533799.MERGE	1
PI533800.C57CTACXX.8.11291	0
PI533807.C57CTACXX.8.11385	0
PI533810.C57CTACXX.8.11087	0
PI533821.C57CTACXX.8.12160	0
PI533822.C57CTACXX.4.5116	0
PI533824.C57CTACXX.3.4081	2
PI533830.MERGE	0
PI533831.MERGE	0
PI533852.MERGE	3
PI533863.C57CTACXX.8.11138	2
PI533866.MERGE	2
PI533869.C57CTACXX.8.11983	0
PI533871.C57CTACXX.2.2987	0
PI533876.C57CTACXX.2.2968	1
PI533878.C57CTACXX.4.5330	0
PI533882.C57CTACXX.3.4129	0
PI533902.MERGE	0
PI533903.MERGE	0
PI533910.C57CTACXX.8.11374	0
PI533911.C57CTACXX.8.11779	0
PI533912.C57CTACXX.8.11787	0
PI533913.C57CTACXX.8.11606	1
PI533915.MERGE	0
PI533919.C57CTACXX.8.11879	0
PI533921.MERGE	0
PI533924.MERGE	0
PI533936.C57CTACXX.2.2564	0
PI533939.C57CTACXX.3.3276	0
PI533948.C57CTACXX.2.2420	0
PI533949.MERGE	0
PI533955.C57CTACXX.3.3693	0
PI533956.C57CTACXX.3.3243	0
PI533957.C57CTACXX.8.11187	0
PI533962.C57CTACXX.8.11061	0
PI533964.C57CTACXX.3.3642	0
PI533965.C57CTACXX.8.11653	0
PI533967.C57CTACXX.3.3547	0
PI533970.C57CTACXX.3.3947	0
PI533976.C57CTACXX.3.3079	2
PI533979.C57CTACXX.3.3512	0
PI533980.C57CTACXX.3.3599	1
PI533985.C57CTACXX.3.3267	0
PI533986.C57CTACXX.8.11164	1
PI533987.C57CTACXX.3.3752	1
PI533989.C57CTACXX.8.12036	0
PI533991.C57CTACXX.3.4498	1
PI533996.C57CTACXX.3.3315	0
PI533998.MERGE	0
PI534021.C57CTACXX.3.3681	1
PI534028.C57CTACXX.8.12087	0
PI534046.MERGE	0
PI534047.C57CTACXX.3.4325	1
PI534070.C57CTACXX.8.11311	1
PI534079.C57CTACXX.8.11798	1
PI534096.C57CTACXX.2.2664	0
PI534099.C57CTACXX.3.3773	1
PI534101.C57CTACXX.3.3651	0
PI534104.C57CTACXX.3.3627	2
PI534105.C57CTACXX.2.2988	2
PI534108.C57CTACXX.2.2729	0
PI534112.C57CTACXX.8.11587	0
PI534115.C57CTACXX.3.4516	2
PI534117.C57CTACXX.8.11444	0
PI534133.C57CTACXX.4.4863	0
PI534137.C57CTACXX.8.11813	0
PI534138.MERGE	0
PI534148.C57CTACXX.4.4786	1
PI534155.C57CTACXX.8.11382	0
PI534157.C57CTACXX.8.11481	1
PI534163.C57CTACXX.8.11281	1
PI534167.MERGE	1
PI535783.C57CTACXX.5.6428	2
PI535794.C57CTACXX.5.7062	3
PI542406.C57CTACXX.9.12657	2
PI542718.MERGE	5
PI548797.C57CTACXX.2.1781	0
PI552856.MERGE	1
PI552861.C57CTACXX.8.11203	1
PI561072.C57CTACXX.9.12647	4
PI561073.C57CTACXX.8.11313	6
PI561472.C57CTACXX.8.11565	0
PI564163.MERGE	2
PI564164.C57CTACXX.2.2363	1
PI564165.C57CTACXX.2.2043	4
PI566819.MERGE	2
PI574455.MERGE	1
PI576130.C57CTACXX.1.1364	3
PI576339.C57CTACXX.2.2815	2
PI576345.C57CTACXX.3.3355	1
PI576348.C57CTACXX.3.3952	0
PI576352.C57CTACXX.2.3063	3
PI576359.C57CTACXX.2.2942	0
PI576366.C57CTACXX.3.3904	0
PI576373.C57CTACXX.2.2719	5
PI576375.C57CTACXX.3.3372	3
PI576376.C57CTACXX.3.3820	1
PI576380.C57CTACXX.4.4613	3
PI576381.C57CTACXX.3.3838	7
PI576386.C57CTACXX.4.5099	3
PI576387.C57CTACXX.3.3268	4
PI576390.C57CTACXX.8.11364	1
PI576391.C57CTACXX.8.11028	2
PI576393.C57CTACXX.8.11903	1
PI576418.C57CTACXX.3.3862	0
PI576422.C57CTACXX.2.3062	2
PI576425.C57CTACXX.2.2644	0
PI576426.C57CTACXX.2.2428	1
PI576428.C57CTACXX.3.3834	7
PI576434.MERGE	0
PI576435.C57CTACXX.3.3429	0
PI585291.C57CTACXX.2.1772	2
PI595699.C57CTACXX.2.2555	0
PI595714.C57CTACXX.3.3563	0
PI595718.C57CTACXX.2.2920	0
PI595720.C57CTACXX.3.3529	0
PI595739.C57CTACXX.3.3218	2
PI595740.C57CTACXX.4.5730	0
PI595741.C57CTACXX.2.2435	0
PI595744.C57CTACXX.3.3344	1
PI597945.C57CTACXX.3.3466	1
PI597949.C57CTACXX.3.3620	0
PI597952.C57CTACXX.2.2441	1
PI597957.C57CTACXX.3.3617	3
PI597958.C57CTACXX.2.1721	0
PI597961.C57CTACXX.3.3100	0
PI597964.C57CTACXX.2.2423	5
PI597965.MERGE	4
PI597966.C57CTACXX.2.2952	2
PI597968.C57CTACXX.2.3017	1
PI597971.C57CTACXX.4.4912	0
PI597973.C57CTACXX.3.3319	0
PI597980.MERGE	1
PI601816.C57CTACXX.2.1647	0
PI609456.C57CTACXX.4.5670	1
PI613536.C57CTACXX.8.11153	2
PI629034.C57CTACXX.1.1329	1
PI629040.C57CTACXX.2.2149	0
PI629059.MERGE	1
PI641824.MERGE	1
PI641874.C57CTACXX.4.5289	1
PI642791.MERGE	0
PI642992.C57CTACXX.2.1875	0
PI651492.C57CTACXX.4.5162	1
PI651496.MERGE	1
PI655970.MERGE	0
PI655971.C57CTACXX.4.5812	0
PI655973.C57CTACXX.2.2002	3
PI655974.C57CTACXX.2.1795	0
PI655975.C57CTACXX.4.5204	0
PI655976.C57CTACXX.1.1431	0
PI655978.MERGE	0
PI655979.MERGE	3
PI655982.C57CTACXX.4.4672	1
PI655984.C57CTACXX.2.2317	0
PI655985.C57CTACXX.1.1472	3
PI655986.C57CTACXX.2.2316	3
