"Taxa","FLoweringtime","nSpad","Log_2019.2020_PH","Log_D1_2019.2020","Log_D2_2019.2020","Log_D1_2019.2020AC","Log_D2_2019.2020AC","GHD","NDVIAug25","NDREAug25","SAVI_Aug25"
"PI152651.C57CTACXX.2.1798",1.64,0,2.064863238,0.8,0.9,3.05,2.29,9,0.33,0.2,0.17
"PI24969.C57CTACXX.9.12341",1.84,0,2.08957474,0.8,0.9,2.98,1.45,9,0.43,0.23,0.13
"PI257599.C57CTACXX.5.6490",1.77,4,2.456299654,0.3,0.54,2.1,0.49,8.1,NA,NA,NA
"PI276837.MERGE",1.99,3,2.427267385,0.44,0.6,2.44,2.79,8.3,0.72,0.46,0.4
"PI329440.MERGE",1.71,1,1.965991388,0.63,0.78,2.83,2.64,8.5,0.44,0.25,0.14
"PI34911.C57CTACXX.2.1957",1.88,2,2.14747695,0.57,0.83,2.95,2.96,8.6,0.68,0.39,0.33
"PI533750.C57CTACXX.8.11413",1.76,2,1.993029891,0.7,0.85,2.89,2.73,8.6,0.37,0.22,0.13
"PI533752.C57CTACXX.8.11536",1.79,1,1.931247488,0.57,0.86,2.25,2.87,8.6,0.31,0.17,0.1
"PI533755.C57CTACXX.8.11537",1.7,1,1.294351576,0.76,0.88,2.83,2.88,8.8,0.22,0.13,0.1
"PI533757.C57CTACXX.8.11521",1.79,1,1.900370542,0.76,0.89,2.96,2.74,8.8,0.54,0.31,0.2
"PI533758.C57CTACXX.8.12216",1.8,1,1.928102994,0.57,0.78,2.88,2.79,8.8,0.64,0.37,0.21
"PI533759.C57CTACXX.8.11270",1.71,0,1.843329745,0.76,0.83,2.82,2.79,9,0.53,0.28,0.13
"PI533760.C57CTACXX.3.4382",1.77,0,1.868098852,0.48,0.8,2.52,2.66,9,0.49,0.29,0.21
"PI533761.C57CTACXX.8.11946",1.81,0,1.97714442,0.81,0.9,2.99,2.71,9,0.45,0.3,0.22
"PI533762.C57CTACXX.8.11502",1.71,0,1.879871684,0.85,0.93,2.59,0,9,0.26,0.13,0.09
"PI533769.C57CTACXX.8.11115",1.77,2,1.637770844,0.65,0.83,2.76,1.44,8.2,0.27,0.16,0.1
"PI533785.C57CTACXX.8.11395",1.73,1,1.994231143,0.86,0.93,3.15,2.83,8.7,0.44,0.28,0.22
"PI533788.C57CTACXX.8.11685",1.68,0,1.822268529,0.54,0.89,2.38,2.78,9,0.44,0.22,0.12
"PI533789.C57CTACXX.8.12089",1.77,1,1.957491389,0.86,0.88,2.95,2.85,8.5,0.48,0.28,0.2
"PI533792.MERGE",1.72,1,1.910379308,0.85,0.89,3.09,2.79,8.8,0.37,0.23,0.18
"PI533794.C57CTACXX.8.12142",1.79,1,1.945450824,0.42,0.63,2.04,1.97,8.5,0.61,0.41,0.32
"PI533799.MERGE",1.79,1,1.988197918,0.57,0.7,2.18,2.7,8.5,0.42,0.33,0.15
"PI533800.C57CTACXX.8.11291",1.79,0,1.925111752,0.7,0.85,3.07,2.7,9,0.4,0.25,0.17
"PI533807.C57CTACXX.8.11385",1.82,0,1.85942217,0.72,0.85,2.94,2.64,9,0.49,0.26,0.13
"PI533810.C57CTACXX.8.11087",1.82,0,1.850178764,0.54,0.76,2.27,2.75,9,0.31,0.17,0.11
"PI533821.C57CTACXX.8.12160",1.78,0,1.88449563,0.63,0.7,2.41,2.69,9,0.47,0.38,0.18
