2019 Field,Rep ,2019 Entry,Pedigree,PI Number
2500,1,1760,SRN39,656027
2501,1,1733,Combine Kafir-60,655988
2502,1,1693,SAP-134,595741
2503,1,1740,Tx2783,656001
2504,1,1776,M35-1,656047
2505,1,1631,SO 85,534096
2506,1,1706,SAP-171,597973
2507,1,1840,KS 97,607900
2508,1,1705,SAP-170,597971
2509,1,1625,Jola Nandyal,534021
2510,1,1611,"Safara, Kordanfan",533964
2511,1,1696,SAP-146,597949
2512,1,1775,Lian Tan Ai,656046
2513,1,1690,SAP-149,595720
2514,1,1800,SC 145,656082
2515,1,1788,Koro Kollo,656065
2516,1,1596,Kokla,533911
2517,1,1680,SAP-141,576422
2518,1,1589,M 1,533871
2519,1,1820,SC 971,656111
2520,1,1698,SAP-151,597957
2521,1,1779,MR732,656051
2522,1,1835,Swarna,Grif 578
2523,1,1734,Redbine-60,655989
2524,1,1736,Tx 3197,655992
2525,1,1677,K.1 lrungu cholam,576391
2526,1,1571,SO 16,533785
2527,1,1668,Jowar Red Jankinagar,576366
2528,1,1650,Tx2891,548797
2529,1,1600,"R1,4",533919
2530,1,1591,KA 21 Gajerar Kaura,533878
2531,1,1710,KS 115,613536
2532,1,1635,EC 21361 G30,534105
2533,1,1643,"R1, 21",534148
2534,1,1594,No. 35 Mab,533903
2535,1,1721,Standard White Milo,655971
2536,1,1622,Sinidyil 177,533991
2537,1,1697,SAP-323,597952
2538,1,1729,Chiltex ,655984
2539,1,1610,Malwal Aweil,533962
2540,1,1666,Marupantse,576352
2541,1,1634,EC 21360 G29,534104
2542,1,1781,N290B,656053
2543,1,1654,A/BTx635,561073
2544,1,1617,SAP-275,533980
2545,1,1621,Nyithin,533989
2546,1,1759,Soberano,656026
2547,1,1663,SAP-312,576339
2548,1,1829,N109B,535794
2549,1,1791,SC 748-5,656070
2550,1,1793,SC 1047,656072
2551,1,1713,BTx2928,629059
2552,1,1588,Msumbji SB 117,533869
2553,1,1695,SAP-336,597945
2554,1,1756,BTx615,656022
2555,1,1758,Shan Qui Red,656025
2556,1,1701,SAP-166,597964
2557,1,1807,SC 22,656091
2558,1,1581,AS4616 Balangira-Mwanza,533822
2559,1,1629,BE 25,534070
2560,1,1641,Budy,534137
2561,1,1717,Standard Early Hegari,642992
