PI,Rep ,2019_Flowering,2020_Flowering ,2019D1,2019D2,2020D1,2020D2,2019_AV.Plant height,2020_AV.Plant height ,AV.AC_Aug14_2019,AV.AC_Aug_28_2019,AV.AC_Aug11-2020,AV.AC_Aug18-2020,AV.2019&2020D1,AV.2019&2020D2,AV.2019
24969,1,63,NA,4,6,7,8,165,66.7,533,58,1016,1500,5.5,7,
24969,2,70,69,3,6,NA,NA,165,113.3,1167,0,NA,NA,3,6,
34911,1,73,76,2,7,4,5,155,120,533,499,1500,1500,3,6,
34911,2,73,78,1,5,4,6,150,135,208,183,1333,1500,2.5,5.5,
152651,1,42,42,3,7,7,7,135,NA,666,0,1000,99,5,7,
152651,2,40,45,6,7,5,7,130,100,1500,25,1500,1500,5.5,7,
257599,1,NA,NA,1,3,NA,NA,280,NA,191,0,NA,NA,1,3,
257599,2,NA,NA,1,2,NA,NA,290,NA,82,8,NA,NA,1,2,
264453,1,66,NA,3,7,7,8,295,180,191,208,1333,525,5,7.5,
264453,2,73,76,4,6,7,7,295,223.3,866,333,1500,1500,5.5,6.5,
276837,1,NA,97,2,2,2,3,300,220,74,0,99,1000,2,2.5,
276837,2,NA,97,1,3,2,4,300+,253.3,191,0,1500,1500,1.5,3.5,
329440,1,59,34,2,4,5,7,100,81.7,516,0,1500,750,3.5,5.5,
329440,2,54,55,2,5,4,4,95,90,366,0,533,1000,3,4.5,
533750,1,54,55,2,4,4,7,105,96.7,232,0,1333,750,3,5.5,
533750,2,56,62,4,7,6,6,95,93.3,549,33,1000,1500,5,6.5,
533752,1,66,57,3,5,2,7,90,75,1167,66,666,1500,2.5,6,
533752,2,61,NA,4,6,NA,NA,100,NA,33,699,NA,NA,4,6,
533755,1,NA,42,NA,,7,8,0,56.7,0,0,1167,1500,7,8,
533755,2,52,49,2,5,8,8,55,45,58,0,1500,1500,5,6.5,
533757,1,56,64,3,6,7,8,75,70,833,8,1333,750,5,7,
533757,2,54,69,2,6,7,7,90,80,25,82,1500,1500,4.5,6.5,
533758,1,54,66,3,5,3,6,95,71.7,1000,0,1166,1500,3,5.5,
533758,2,63,64,1,3,4,6,90,80,833,0,216,1000,2.5,4.5,
533759,1,54,45,2,4,7,8,65,68.3,833,8,208,1000,4.5,6,
533759,2,52,48,3,4,7,7,70,71.7,675,525,1000,1000,5,5.5,
533760,1,66,59,NA,5,3,7,70,70,349,49,833,1500,3,6,
533760,2,56,50,1,4,3,5,80,71.7,25,33,341,499,2,4.5,
533761,1,61,NA,5,6,8,8,120,53.3,566,208,1167,499,6.5,7,
533761,2,63,64,4,7,5,7,110,100,1167,0,1000,1500,4.5,7,
533762,1,49,NA,7,8,NA,NA,80,NA,183,0,NA,NA,7,8,
533762,2,52,NA,5,7,NA,NA,70,NA,833,0,NA,NA,5,7,
533769,1,56,64,7,8,,6,45,40,833,0,500,1500,7,7,
533769,2,49,NA,2,3,NA,NA,45,NA,499,0,NA,NA,2,3,
533785,1,49,52,7,8,5,8,110,80,1333,183,1500,1000,6,8,
533785,2,56,55,6,7,7,7,95,106.7,1333,16,1500,1500,6.5,7,
533788,1,45,48,2,7,3,6,65,66.7,341,175,232,1250,2.5,6.5,
533788,2,45,50,3,8,2,6,65,65,50,25,349,1000,2.5,7,
533789,1,56,62,5,7,8,8,95,65,699,0,1333,1250,6.5,7.5,
533789,2,56,57,3,4,7,7,100,100,33,82,1500,1500,5,5.5,
533792,1,49,55,6,9,7,8,70,83.3,1333,0,1500,1000,6.5,8.5,
533792,2,52,52,4,7,7,3,95,75,1008,0,1167,1500,5.5,5,
533794,1,59,66,1,3,3,5,80,81.7,191,0,366,750,2,4,
533794,2,61,55,1,2,1,3,100,88.3,58,8,25,37,1,2.5,
533799,1,63,62,2,3,4,4,125,73.3,25,8,1167,1250,3,3.5,
533799,2,59,59,3,4,2,5,125,75,50,33,25,750,2.5,4.5,
533800,1,66,57,2,5,7,7,85,70,842,0,1333,1000,4.5,6,
533800,2,63,NA,3,4,4,8,100,80,1333,0,1166,1000,3.5,6,
533807,1,66,NA,2,3,4,7,95,58.3,349,16,1166,1500,3,5,
533807,2,63,66,3,5,8,9,90,51.7,1000,0,1000,499,5.5,7,
533810,1,61,69,3,5,2,5,75,65,1000,8,33,750,2.5,5,
533810,2,63,NA,3,4,NA,NA,75,NA,66,833,NA,NA,3,4,
533821,1,56,55,2,3,3,6,85,73.3,82,8,82,1250,2.5,4.5,
