Name	Source	function
Sobic.001G000100	defLine	similar to Putative uncharacterized protein
Sobic.001G000200	defLine	similar to RabGAP/TBC domain-containing protein, putative, expressed
Sobic.001G000400	defLine	similar to PDR-like ABC transporter
Sobic.001G000700	defLine	similar to Putative uncharacterized protein
Sobic.001G000800	defLine	similar to Expressed protein
Sobic.001G001200	defLine	similar to Os03g0861900 protein
Sobic.001G001300	defLine	similar to Rhodanese-like domain containing protein, expressed
Sobic.001G001800	defLine	weakly similar to Putative uncharacterized protein
Sobic.001G001900	defLine	similar to Transcriptional corepressor LEUNIG, putative, expressed
Sobic.001G002000	defLine	weakly similar to Putative uncharacterized protein
Sobic.001G002300	defLine	weakly similar to Os02g0484600 protein
Sobic.001G002400	defLine	similar to Putative uncharacterized protein
Sobic.001G002600	defLine	similar to Chromosome undetermined scaffold_127, whole genome shotgun sequence
Sobic.001G003000	defLine	similar to OTU-like cysteine protease family protein, putative, expressed
Sobic.001G003100	defLine	similar to RuBisCO large subunit-binding protein subunit alpha, chloroplast precursor
Sobic.001G003200	defLine	similar to Sigma factor SIG6
Sobic.001G003300	defLine	similar to ABC transporter family protein, putative, expressed
Sobic.001G003400	defLine	Predicted protein
Sobic.001G003500	defLine	similar to La domain containing protein, expressed
Sobic.001G003600	defLine	similar to Putative uncharacterized protein
Sobic.001G003700	defLine	similar to Putative uncharacterized protein
Sobic.001G004000	defLine	similar to Expressed protein
Sobic.001G004400	defLine	similar to Putative chromosome region maintenance protein
Sobic.001G004500	defLine	similar to Chromosome chr18 scaffold_1, whole genome shotgun sequence
Sobic.001G004600	defLine	Predicted protein
Sobic.001G004700	defLine	similar to Putative uncharacterized protein
Sobic.001G004800	defLine	similar to Putative uncharacterized protein OSJNBa0059G06.14
Sobic.001G005000	defLine	similar to Os03g0857500 protein
Sobic.001G005100	defLine	similar to Putative CLB1 protein (Calcium-dependent lipid binding) protein
Sobic.001G005200	defLine	similar to Putative uncharacterized protein OSJNBa0059G06.17
Sobic.001G005300	defLine	similar to Gibberellin 20-oxidase
Sobic.001G005500	defLine	similar to Putative uncharacterized protein
Sobic.001G005600	defLine	similar to Protein kinase AKINbetagamma-1
Sobic.001G005700	defLine	similar to Acyl carrier protein
Sobic.001G005800	defLine	similar to Putative H-box binding protein, KAP2, with alternative splicing isoforms
Sobic.001G005900	defLine	similar to Putative uncharacterized protein
Sobic.001G006000	defLine	similar to Putative uncharacterized protein
Sobic.001G006101	defLine	similar to Putative uncharacterized protein
Sobic.001G006201	defLine	similar to Putative uncharacterized protein
Sobic.001G006300	defLine	similar to Putative uncharacterized protein
Sobic.001G006500	defLine	similar to Os03g0855500 protein
Sobic.001G006600	defLine	weakly similar to Putative DNA-binding protein
Sobic.001G006700	defLine	similar to Os03g0854800 protein
Sobic.001G007000	defLine	similar to Os09g0261300 protein
Sobic.001G007200	defLine	similar to Putative heat shock transcription factor
Sobic.001G007300	defLine	similar to Putative uncharacterized protein
Sobic.001G007400	defLine	similar to Expressed protein
Sobic.001G007500	defLine	similar to Putative exosome component
Sobic.001G007600	defLine	similar to Putative uncharacterized protein
Sobic.001G007800	defLine	similar to Os01g0238900 protein
Sobic.001G007900	defLine	similar to Putative uncharacterized protein
Sobic.001G008100	defLine	similar to Expressed protein
Sobic.001G008300	defLine	similar to Expressed protein
Sobic.001G008500	defLine	similar to Putative uncharacterized protein
Sobic.001G008600	defLine	similar to Putative uncharacterized protein
Sobic.001G008700	defLine	similar to Os03g0852600 protein
Sobic.001G008800	defLine	similar to Putative uncharacterized protein OSJNBa0015N08.27
Sobic.001G008900	defLine	Predicted protein
Sobic.001G009300	defLine	similar to Derlin-2.1
Sobic.001G009400	defLine	similar to Pentatricopeptide, putative, expressed
Sobic.001G009500	defLine	similar to Putative uncharacterized protein
Sobic.001G009600	defLine	similar to AFG1-like ATPase family protein, putative, expressed
Sobic.001G009700	defLine	similar to Histone H2A
Sobic.001G009800	defLine	similar to Putative uncharacterized protein
Sobic.001G010100	defLine	similar to Ankyrin repeat domain protein 2, putative, expressed
Sobic.001G010200	defLine	similar to Putative uncharacterized protein
Sobic.001G010400	defLine	similar to SnRK1-interacting protein 1, putative, expressed
Sobic.001G010500	defLine	Predicted protein
Sobic.001G010600	defLine	similar to Putative U2 snRNP protein A'
Sobic.001G010700	defLine	similar to Putative uncharacterized protein
